FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
572,546,234,171,11,9,2,7,0
573,546,235,171,12,9,3,6,0
571,546,220,170,11,9,4,6,0
572,546,220,171,12,9,0,6,0
571,541,213,154,12,9,7,6,0
572,544,217,160,12,9,5,7,0
573,545,221,161,12,9,6,7,0
573,546,222,161,12,9,6,6,0
574,546,225,162,12,9,6,7,0
573,546,225,161,12,9,5,6,0
575,547,228,162,11,9,4,6,0
575,547,228,164,11,9,6,6,0
575,547,230,164,12,9,6,7,0
575,547,229,163,12,9,4,6,0
575,547,230,165,12,9,6,7,0
575,547,233,165,12,9,6,6,0
577,546,234,165,12,8,6,7,0
576,547,234,167,12,9,6,7,0
577,547,235,167,12,8,5,7,0
577,547,235,168,12,8,7,7,0
577,548,235,168,12,8,7,7,0
574,548,233,167,12,9,4,6,0
577,550,237,174,12,9,0,7,0
577,550,238,175,12,8,3,8,0
579,549,238,173,13,9,6,6,0
579,549,238,174,12,8,5,6,0
580,550,239,174,12,9,5,6,0
579,550,240,174,12,8,6,7,0
581,556,224,174,12,9,0,5,0
579,553,235,177,13,7,0,5,0
580,554,239,179,12,8,0,5,0
580,554,240,180,12,8,0,6,0
580,552,242,179,13,8,0,6,0
580,553,240,180,12,8,1,6,0
578,552,241,181,12,7,0,5,0
579,552,243,181,12,8,0,6,0
580,553,244,183,12,8,1,7,0
580,553,243,181,12,8,1,6,0
580,554,245,182,12,8,1,6,0
580,554,247,186,13,8,1,6,0
580,554,247,182,12,7,1,6,0
581,553,248,182,12,7,0,7,0
580,554,249,183,12,8,0,7,0
580,554,248,180,12,8,3,6,0
578,548,238,171,12,8,2,7,0
581,551,244,174,12,8,5,6,0
580,551,244,174,12,8,5,6,0
582,551,246,175,12,8,5,6,0
581,551,247,176,12,8,5,6,0
578,551,247,174,12,8,4,6,0
581,550,247,175,12,8,3,7,0
581,551,248,177,12,8,5,6,0
581,551,245,176,12,8,4,6,0
580,551,248,177,12,8,4,6,0
582,553,249,177,12,8,5,5,0
581,555,249,175,13,8,6,4,0
581,554,250,177,12,8,4,4,0
581,552,251,180,13,8,5,3,0
579,553,249,178,12,8,5,3,0
580,554,251,178,12,8,4,2,0
581,554,252,180,12,8,5,4,0
578,551,253,181,12,8,5,1,0
581,554,254,181,13,8,4,1,0
581,555,253,181,13,8,5,2,0
581,560,249,174,13,7,0,0,0
